ticket_id,created_date,closed_date,status,priority,category,department,technician,description
TCK-1194,2026-01-14 10:05:01,,Open,Low,Software,IT,Casey Brooks,Window almost the plan must argue wonder.
TCK-1195,2026-04-27 01:22:51,2026-04-30 07:22:51,Closed,High,Software,Production,Taylor Nguyen,Campaign whether perform official state may factor leader.
TCK-1196,2026-04-01 22:50:06,2026-04-04 08:50:06,Closed,Low,Login / Access,Maintenance,Jordan Lee,Author beat believe owner culture course fish.
TCK-1197,2025-12-22 05:50:19,,Open,Low,Machine Interface,IT,Morgan Patel,Physical feel chance radio seem it media people site chance.
TCK-1198,2026-05-16 12:01:57,2026-05-21 07:01:57,Closed,Critical,Hardware,Quality,Casey Brooks,Management cover they street way laugh.
TCK-1199,2025-12-25 14:40:35,2025-12-28 01:40:35,Closed,Medium,ERP / Business System,HR,Riley Johnson,Film together inside simply other glass remain special.
TCK-1200,2026-03-21 13:31:52,2026-03-23 01:31:52,Closed,Critical,Hardware,IT,Taylor Nguyen,Policy team many man school food education realize.
TCK-1201,2026-05-07 13:23:13,2026-05-09 16:23:13,Closed,Low,ERP / Business System,Production,Casey Brooks,Worker fund floor member pressure team garden.
TCK-1202,2026-05-06 02:29:12,,Open,Critical,Login / Access,Production,Jordan Lee,Notice perform edge yes the carry staff.
TCK-1203,2026-04-21 14:22:23,2026-04-21 21:22:23,Closed,Low,Network,Maintenance,Riley Johnson,Loss area force toward bed matter car both avoid house law good group.
TCK-1204,2026-03-26 04:24:33,2026-03-27 08:24:33,Closed,Low,Network,Quality,Casey Brooks,Agree thus drive instead activity notice area let deal beautiful reason create.
TCK-1205,2026-05-01 01:35:28,2026-05-04 20:35:28,Closed,Critical,Machine Interface,HR,Casey Brooks,Your couple size enter response base read up almost onto sea.
TCK-1206,2025-12-02 05:01:14,2025-12-02 21:01:14,Closed,Medium,Printer / Scanner,HR,Riley Johnson,Money region admit arrive worry paper middle.
TCK-1207,2026-04-10 08:49:54,,In Progress,Medium,Machine Interface,Maintenance,Morgan Patel,Change indeed world form sometimes create say trial husband arm clearly learn.
TCK-1208,2025-12-21 04:57:44,2025-12-25 15:57:44,Closed,High,Machine Interface,Quality,Morgan Patel,Single attorney past likely figure several ok goal different population resource between.
TCK-1209,2026-04-25 12:26:05,2026-04-27 03:26:05,Closed,Medium,Software,Shipping,Jordan Lee,Share authority risk mother material dream song your thus finish enjoy require actually.
TCK-1210,2025-12-08 23:00:54,2025-12-12 15:00:54,Closed,Low,Network,Admin Office,Casey Brooks,Least simply simply us southern ready option term really do.
TCK-1211,2026-02-15 06:58:15,2026-02-18 05:58:15,Closed,Critical,Data Issue,Quality,Casey Brooks,Lay sport evidence party strategy enjoy already your history away.
TCK-1212,2026-02-15 04:43:46,,In Progress,Medium,Software,HR,Taylor Nguyen,May individual director quickly live also often anyone stuff much right.
TCK-1213,2026-03-07 19:10:05,,In Progress,Medium,Hardware,HR,Morgan Patel,Lawyer most foot different reveal agent our.
TCK-1214,2026-04-06 12:07:44,,Open,Critical,Software,Admin Office,Casey Brooks,Language government range statement up realize president yeah result.
TCK-1215,2026-04-07 00:24:45,2026-04-09 23:24:45,Closed,High,Software,Quality,Casey Brooks,Between song main career choose thank deal contain hand son.
TCK-1216,2026-01-07 05:09:07,2026-01-08 03:09:07,Closed,High,Manufacturing System,Shipping,Riley Johnson,Even bit prove employee collection way future a right response.
TCK-1217,2026-03-27 18:19:51,2026-03-30 13:19:51,Closed,High,ERP / Business System,Production,Taylor Nguyen,Goal office writer team age price body force.
TCK-1218,2026-03-17 22:10:23,,Open,Medium,Software,Admin Office,Casey Brooks,Threat step test perhaps shake how player hour blood adult within.
TCK-1219,2026-01-20 12:46:59,2026-01-25 01:46:59,Closed,High,Software,Shipping,Riley Johnson,Air school suggest court baby own action staff cultural.
TCK-1220,2026-01-27 14:44:07,,Open,Low,Network,Maintenance,Riley Johnson,Party keep federal recent across beautiful attack represent month toward movement space woman.
TCK-1221,2026-05-14 20:10:40,2026-05-16 09:10:40,Closed,Medium,Software,Engineering,Jordan Lee,Where should TV soldier important debate worker.
TCK-1222,2026-01-30 05:16:39,2026-02-03 07:16:39,Closed,High,ERP / Business System,Shipping,Riley Johnson,Set today occur stage federal area young.
TCK-1223,2026-02-16 18:21:16,,In Progress,High,Network,Shipping,Riley Johnson,Voice now entire her teach bag evening performance produce why.
TCK-1224,2026-01-25 17:51:50,2026-01-27 09:51:50,Closed,Low,Printer / Scanner,Quality,Riley Johnson,Left third choice everybody third style left.
TCK-1225,2026-02-02 21:54:58,2026-02-03 19:54:58,Closed,Medium,Manufacturing System,Production,Jordan Lee,Fire account family indeed because serious window between loss brother individual dream.
TCK-1226,2025-12-29 14:05:00,2026-01-03 05:05:00,Closed,Critical,Machine Interface,Maintenance,Casey Brooks,Almost sit nature offer kind hundred.
TCK-1227,2026-03-20 11:20:23,,Open,Medium,Hardware,Finance,Morgan Patel,Same remain long major year though throughout much level.
TCK-1228,2025-11-27 14:30:58,2025-11-28 16:30:58,Closed,Critical,Network,Quality,Riley Johnson,When history would each quality contain thank truth thank democratic stage law cost.
TCK-1229,2026-04-26 16:36:11,2026-05-01 05:36:11,Closed,High,Data Issue,Maintenance,Riley Johnson,Majority son adult continue crime case summer want shake question show risk.
TCK-1230,2026-02-19 09:52:16,,Open,Medium,Printer / Scanner,IT,Casey Brooks,Lawyer but experience respond himself federal teacher.
TCK-1231,2026-01-17 16:18:41,2026-01-22 10:18:41,Closed,Critical,Printer / Scanner,Shipping,Morgan Patel,Dark moment production its research improve modern whether consumer his girl.
TCK-1232,2026-02-06 03:59:19,2026-02-09 06:59:19,Closed,Medium,Machine Interface,Admin Office,Riley Johnson,Writer event blue beat general ground forward artist important.
TCK-1233,2026-04-08 01:55:48,,In Progress,Medium,Software,Production,Morgan Patel,Door early perform seem indeed also agree.
TCK-1234,2026-03-09 12:55:32,2026-03-11 16:55:32,Closed,Low,Network,HR,Morgan Patel,Actually series everyone occur bag American industry work.
TCK-1235,2025-12-30 14:09:11,,Open,Critical,Manufacturing System,Admin Office,Taylor Nguyen,Difficult act thank word let product return college visit laugh social stay.
TCK-1236,2025-12-17 22:17:27,2025-12-21 22:17:27,Closed,Critical,Network,Shipping,Riley Johnson,Responsibility wide forward society collection argue laugh school.
TCK-1237,2025-11-23 05:09:58,2025-11-23 23:09:58,Closed,High,Hardware,Engineering,Jordan Lee,Left fight she not now myself.
TCK-1238,2025-11-23 17:07:24,,In Progress,Low,Network,HR,Jordan Lee,Late world cell program audience hair ball song.
TCK-1239,2026-03-24 05:36:17,2026-03-28 20:36:17,Closed,High,Hardware,Engineering,Taylor Nguyen,Spring cold team but goal military education.
TCK-1240,2025-12-12 02:57:07,2025-12-14 15:57:07,Closed,High,ERP / Business System,Engineering,Riley Johnson,Report manage hold risk step recent mind support natural also more.
TCK-1241,2026-01-07 13:08:34,2026-01-11 01:08:34,Closed,Critical,Login / Access,IT,Casey Brooks,Keep note open them people effect catch.
TCK-1242,2026-02-23 19:21:52,,In Progress,Critical,Machine Interface,Shipping,Casey Brooks,Lose individual apply try week her court perform how class.
TCK-1243,2026-03-19 22:33:41,2026-03-21 19:33:41,Closed,Critical,Software,Maintenance,Riley Johnson,Strong particular class majority operation spring deep involve method throw.
TCK-1244,2026-01-13 23:30:31,,In Progress,Low,Data Issue,Engineering,Taylor Nguyen,Heart executive treat central worker value first.
TCK-1245,2025-12-13 09:08:26,2025-12-15 15:08:26,Closed,Low,Printer / Scanner,Shipping,Jordan Lee,Guess interview impact later consider bring term.
TCK-1246,2026-05-09 12:33:50,,Open,Medium,Login / Access,HR,Casey Brooks,Specific above thus song inside approach box food foreign.
TCK-1247,2026-01-07 03:13:42,2026-01-09 15:13:42,Closed,High,Manufacturing System,Maintenance,Morgan Patel,Staff same under include after benefit notice drug really serve draw.
TCK-1248,2026-03-22 10:08:21,2026-03-23 16:08:21,Closed,High,Manufacturing System,Engineering,Morgan Patel,Professor appear choose green certain coach message rule against.
TCK-1249,2025-12-24 23:14:05,,Open,Low,Data Issue,Engineering,Jordan Lee,Mention expect market center opportunity law stage office rise down eight.
TCK-1250,2026-03-27 01:43:02,2026-03-28 13:43:02,Closed,Critical,Login / Access,IT,Jordan Lee,Program service when do democratic our seven international.
